ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
95,应采儿,1710280544,3443493,female,明星,3,1978888,47373,8.6w,3636.70 ,36.37 ,4.60,4,237,1天32分31秒
96,C姐豪横 7月6号直播,shangpindg22,1586096,female,美妆,6,548320,9729,38.4w,3590.60 ,35.91 ,4.84,18,610,5天3时31分28秒
97,周大生珠宝新选,ZDS_2021,960379,female,时尚,0,453849,11492,17.3w,3575.10 ,35.75 ,4.73,34,108,10天20时55分1秒
98,星线好物严选,V13606605167,434359,female,穿搭,4,78911,1536,8.1w,3523.60 ,35.24 ,4.87,18,1158,5天19时30分53秒
99,厂长化妆品-皙玥【8点直播】,scz1221,1699831,male,美妆,6,266681 ,9041,23.4w,3520.00 ,35.20 ,4.82,31,98,5天23时13分56秒
100,能能叔,1797411093,8967330,male,明星,3,4832443,197257,7.3w,3518.50 ,35.19 ,4.42,5,113,15时9分38秒
101,胖虎阿超,ponhu006,75394,male,生活,5,52370,3304,8343,3505.20 ,35.05 ,4.94,21,1815,3天8时45分12秒
102,焦娇美娇,ajiaobaby,436383,female,网红美女,7,166718,10177,10.2w,3475.10 ,34.75 ,4.81,23,1001,4天23时19分24秒
103,一喜推荐官-早上6:00直播,tjgyx10086,680120,female,穿搭,4,188610,1536,18.5w,3473.00 ,34.73 ,4.92,25,682,5天7时18分28秒
104,采石翁珠宝,1013700719,524401,female,时尚,0,376030,3175,1.0w,3462.90 ,34.63 ,4.46,7,10010,23天23时50分46秒
105,森马官方旗舰店,Semir2017,1785495,female,穿搭,4,250837,16303,16.7w,3403.50 ,34.04 ,4.80,182,356,16天5时9分53秒
106,言值翡翠,ddmm50,286770,female,情感,9,41692,1625,7136,3402.50 ,34.03 ,4.88,53,7818,22天18时2分2秒
107,鸿韵翡翠,hyfc666999,152517,female,生活,5,28714,834,1.8w,3384.00 ,33.84 ,4.77,45,2902,7天15时1分19秒
108,刘晓庆,liuxiaoqing151,6193899,female,明星,3,2725109,80475,15.4w,3377.90 ,33.78 ,4.77,7,244,1天7时1分42秒
109,千惠❤️ 7月11日中午12点又要见面啦,woshiwanqianhui,2316105,female,母婴育儿,15,1084798,33004,21.1w,3371.80 ,33.72 ,4.83,4,156,1天3时16分43秒
110,喜哥喜嫂每天晚上8点左右直播,dy4444455555,5838089,female,美食,10,581033,18953,38.1w,3365.20 ,33.65 ,4.98,23,141,3天4时23分20秒
111,幸福嫁到水晶珠宝（每天早上6点开播）,xfjd666,102864,female,时尚,0,103751,3026,10.0w,3357.80 ,33.58 ,4.99,30,6578,10天2时18分40秒
112,言值臻选,yanzhizhenxuan,166297,female,时尚,0,34638,1203,1.0w,3333.40 ,33.33 ,4.94,61,8771,22天16时3秒
113,李晨,lichen_LC1124,5416849,male,明星,3,9128820,57520,12.2w,3303.60 ,33.04 ,4.85,1,52,8时37分17秒
114,香姐姐❤️今晚七点三周年宠粉节送手机电脑,243452181,2116427,female,搞笑,14,180240,37673,45.7w,3299.30 ,32.99 ,4.95,49,835,7天10时36分25秒
115,晓丽衣橱,1875027279,2273289,female,穿搭,4,277584,5249,19.1w,3295.70 ,32.96 ,4.87,81,81,21天19时55分50秒
116,北京浒城古娘中国风female装,18513003330AA,1560913,female,穿搭,4,71155,2849,8.2w,3286.90 ,32.87 ,4.97,53,479,17天22时56分25秒
117,刘轩豪,279198496,2835840,male,生活,5,214870,18802,1.8w,3231.30 ,32.31 ,4.23,16,88,20时1分10秒
118,大胡子茶器阿星,dhz880088,74017,male,文学艺术,16,42442,1240,3.9w,3228.10 ,32.28 ,4.97,30,8244,6天8时50分49秒
119,于震,779813852,18859537,male,明星,3,1066060,24794,20.0w,3214.90 ,32.15 ,4.45,13,298,2天5时3分59秒
120,刘纯服饰  下午5点直播,1763111152,498343,female,穿搭,4,260675,2759,10.5w,3208.00 ,32.08 ,4.75,21,212,5天18时21分57秒
121,员格格来了【今晚见】,YGG.laile,1781491,female,剧情,17,64047,2938,3.1w,3193.30 ,31.93 ,5.00,14,1427,3天3时36分44秒
122,迪丝嫚苓服饰-招主播,HL0822,387420,female,穿搭,4,153655,2726,7.3w,3179.00 ,31.79 ,4.99,38,295,22天8时43分7秒
123,酒仙网拉飞哥（拉菲哥）,chateaulafite,4275721,male,美食,10,250812,9396,20.9w,3169.70 ,31.70 ,4.68,23,322,3天14时15分2秒
124,鹿哥,Zhangxiaolu888,6512394,male,生活,5,285842,60610,167.5w,3139.40 ,31.39 ,4.77,130,1135,2天21时36分9秒
125,少帅💎「还看今朝」,TTSSZB,76968,male,时尚,0,74626,3531,5.9w,3080.80 ,30.81 ,4.41,46,3172,5天19时42分33秒
126,思娴雅学领航者文化传媒,V.13071015883,9281365,female,体育,18,495203,47667,28.4w,3077.90 ,30.78 ,4.92,41,238,6天7时16分11秒
127,袖恩female装,xuan88831.,2189265,female,穿搭,4,572498,6865,19.4w,3059.40 ,30.59 ,4.73,52,299,22天12时35分48秒
128,红布林东越(周一三四五日晚18:30),hongbulinzb1,77683,male,时尚,0,52170,1610,9152,3051.90 ,30.52 ,4.85,20,2825,4天11时20分1秒
129,演员任重,dytrn4ygc43s,1334233,female,明星,3,3797286,34342,2.4w,3045.00 ,30.45 ,4.77,1,88,10时15分30秒
130,兰研,123456lanyan,7209439,female,网红美女,7,955153,58247,30.3w,3041.60 ,30.42 ,4.87,14,165,2天19时20分28秒
131,Apple产品青橙数码旗舰店,appleqcsm,891515,female,科技,1,353814,6845,1.3w,3039.60 ,30.40 ,4.10,30,57,7天3时25分6秒
132,达观说器,daguan07,108150,male,文学艺术,16,118643,2440,5.4w,3031.70 ,30.32 ,5.00,29,6584,6天53分20秒
133,张俪,203521121,2782978,female,明星,3,973572,18922,21.8w,2997.60 ,29.98 ,4.84,11,286,2天23分5秒
134,李淼（银饰批发商）,wuzhen7758,281962,female,时尚,0,250269,22374,25.8w,2984.70 ,29.85 ,4.65,31,1510,3天17时27分13秒
135,龙老板的朱朱珠宝,longlaoban_1,355979,male,影视娱乐,18,66443,11596,7.3w,2980.30 ,29.80 ,4.53,32,4711,7天5时31分3秒
136,珀莱雅官方旗舰店,PROYA_STORE,1335650,female,美妆,6,481004,19965,15.4w,2972.20 ,29.72 ,4.84,75,236,17天1时26分20秒
137,阿纯是质量测评家,achun1999,10700026,male,种草,2,195295,9799,19.4w,2954.80 ,29.55 ,4.99,29,43,2天3时14分44秒
138,嘻嘻的服装搭配日记,jingjinges,637231,female,穿搭,4,301791,7761,44.2w,2945.20 ,29.45 ,4.87,51,3848,7天4时42分45秒
139,伊芙丽官方旗舰店,eifinishop,933880,female,穿搭,4,131282,2409,9.1w,2933.80 ,29.34 ,4.99,93,196,15天3时13分36秒
140,陶金形体礼仪,Tjxt118,6673627,female,时尚,0,569808,68641,36.7w,2933.20 ,29.33 ,4.95,40,151,6天14时11分7秒
141,扬叔来了,127652977,15404433,male,搞笑,14,802744,20045,28.5w,2928.20 ,29.28 ,4.97,21,114,3天3时52分38秒
142,巴图&博谷,tutuandgugu,1275378,female,情感,9,1450111,30505,19.2w,2927.50 ,29.28 ,4.73,14,444,4天4时8分29秒
143,田老丝儿护肤,ID1296,1154000,female,美妆,6,21524,7129,12.1w,2916.70 ,29.17 ,4.11,158,26,5天23时1分21秒
144,素说美丽品牌店,sushuomeili888,1089639,female,美妆,6,10216,4583,14.9w,2872.30 ,28.72 ,1.86,106,29,15天16时1分25秒
